UF;Telefonia;Internet;TV;CartaoCredito;Seguro;Banco;AparelhoCelular;Eletrodomestico;Moveis
GO;6,59;15,6;16,62;14,67;20,3;26,42;30,91;26,06;33,72
MA;10,87;26,77;15,07;6,12;8,42;14,04;23,26;25,26;20
RJ;6,6;9,71;6,79;16,66;14,14;16,99;18,26;14,23;8,56
RS;8,89;8,27;8,19;10,35;12,18;15,25;11,35;9,75;9,99
SP;10,53;19,24;14,07;10,7;13,97;13,88;9,8;9,63;8,98
PE;15,49;49,4;26,06;37,8;55,62;40,75;51,85;52,88;71,19
BA;34,43;67,41;43,08;42,3;56,2;64,48;53,7;46,34;58,67
ES;11,9;11,63;8,04;10,72;17,35;15,57;16,2;13,45;15,24
MG;4,04;8,95;3,45;8,09;9,6;11,25;10,41;10,67;11,78
MT;9,72;26,31;10,54;18,32;21,25;19,56;34,75;33,97;23,06
MS;8,39;30,75;9,43;17,3;30,57;18,23;34,32;35,49;49,41
PA;38,03;59,24;30,99;35,83;51,3;38,62;48,85;43,92;57,69
AM;19,38;20,15;18,37;27,01;26,76;35,79;33,94;29,51;25,81
RO;20,77;26,42;19,64;13,08;15,25;19,13;28,39;30,6;35,53
SC;4,24;12,15;4,17;10,92;11,73;13,43;24,23;11,89;19,1
RN;22,54;31,25;19,28;24,45;26,14;9,89;40,69;51,42;66,67
AL;7,7;35,2;29,73;42,03;65,52;42,21;35,78;31,09;57,71
TO;34,54;54,08;37,94;44,91;58,26;50,69;66,33;65,27;57,06
PR;32,18;60,96;47,14;38,54;46,47;45,13;60,77;59,37;69,42
SE;20,38;58,95;26,53;51,28;62,86;40,46;57,98;45,11;49,66
PB;32,25;48,37;31,24;48,19;63,21;55,82;59,81;57,54;57,63
CE;44,19;15,69;15,74;39,45;20,94;26,7;22,55;20,26;22,34
PI;2,11;4,62;1,25;9,74;15,87;6,56;6,71;9,9;10
DF;50,83;69,37;61,15;57,62;61,38;69,35;74,41;70,01;72,05
AP;41,12;40,37;61,02;51,52;52,63;50;73,23;49,25;61,11
AC;13,33;43,75;60;17,86;13,33;19,39;29,41;63,64;55,56
